,Index,Subject,Birth year,Record,Link,FileLink,Context,Word,Dissimilation,Num,pos
0,71219,авм1922,1922,N20130624b2,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-583230-593126.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-583230-593126.wav,"О - ой, всяко... Сто человеков ходило, из ни = ой... ой, блядь, я, где мы на оборонных - то были, #кто# уж и не вспомнит опять уж?",кто,no,0.0,588178.0
1,73315,авм1922,1922,N20130624b2,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-1145900-1147976.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-1145900-1147976.wav,А #кто# мельником - то последний - от...,хто,yes,1.0,1146938.0
2,73359,авм1922,1922,N20130624b2,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-1150949-1154441.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-1150949-1154441.wav, #кто# по = последний - от год мельником - то у нас - то был - то?,кто,no,0.0,1152695.0
3,175041,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-27571-30763.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-27571-30763.wav,"А я говорю, ну дак уж #кто# какой есть ведь есть.",хто,yes,1.0,29167.0
4,175768,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-258387-265962.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-258387-265962.wav,"[ вздох ] Не знаю, #кто# ещё там, в Плосском - то. Пожалуй, пожалуй.",хто,yes,1.0,262174.5
5,176399,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-506892-507399.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-506892-507399.wav, #Кто# ?,хто,yes,1.0,507145.5
6,176843,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-647387-648185.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-647387-648185.wav, #Кто# ведь...,хто,yes,1.0,647786.0
7,177440,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-832923-838558.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-832923-838558.wav,"Это на меня - то квартиру, а в квартиру < шёл > < #кто# >, то я ведь не поеду, и Ваня "" "" не поеду "" "", Алёша, у всех свои дома, дак.",хто,yes,1.0,835740.5
8,177838,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-955518-959554.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-955518-959554.wav,"Может, может, детдомовцы, может тоже, #кто# его знает, не могу сказать.",хто,yes,1.0,957536.0
9,178973,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1322871-1323737.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1322871-1323737.wav, #Кто# в Чечню дак.,хто,yes,1.0,1323304.0
10,179631,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1525994-1530397.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1525994-1530397.wav,"В деревне эк оно, #кто# побогаче живёт, дак тех окулачили раньше у нас ведь.",кто,no,0.0,1528195.5
11,180353,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1758451-1762470.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1758451-1762470.wav,"Дак на деревне! Это уж несчастный случай, наверное, #кто# они.",хто,yes,1.0,1760460.5
12,180971,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1990730-1994126.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1990730-1994126.wav,"Обжились, дак теперь ведь уже, #кто# где обживётся, тут и живут.",хто,yes,1.0,1992428.0
13,181694,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2275309-2278844.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2275309-2278844.wav,"Вот так вот скоро, помани эво кажный день, #кто# - нинабудь, да и ет = едут.",хто,yes,1.0,2277076.5
14,182199,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2449393-2451163.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2449393-2451163.wav,Теперь и наволок #кто# скосит.,хто,yes,1.0,2450278.0
15,182836,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2680734-2682526.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2680734-2682526.wav,"А теперь #кто# станет, как в магазин возят.",хто,yes,1.0,2681630.0
16,183370,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2923225-2925172.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2923225-2925172.wav,Не вижу. А чего надо? А #кто# тут?,хто,yes,1.0,2924198.5
17,279673,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-97123-105562.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-97123-105562.wav,"Дак ведь, #кто# как живёт, и здесь тоже есть, как винцом - то занимаются, дак те и тык в тык живут на пенсии дак.",хто,yes,1.0,101342.5
18,280538,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-455234-458970.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-455234-458970.wav,"Ходил по всему дак, #кто# тут, тому хватило.",хто,yes,1.0,457102.0
19,283204,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-1536243-1539342.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-1536243-1539342.wav,"А #кто# этим не занимается, у тех все дет = дети любые.",хто,yes,1.0,1537792.5
20,285457,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2485746-2489164.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2485746-2489164.wav," #Кто# , кто куда, куда захоронит своих, дак тут и ходят.",хто,yes,1.0,2487455.0
21,285459,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2485746-2489164.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2485746-2489164.wav,"Кто, #кто# куда, куда захоронит своих, дак тут и ходят.",хто,yes,1.0,2487455.0
22,285506,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2522749-2523910.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2522749-2523910.wav, #Кто# рассказывал - то?,хто,yes,1.0,2523329.5
23,306189,авм1922,1922,N20130624b3,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-169369-176685.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-169369-176685.wav,"Наташа - то рассказывала дак, еще сестренка есть, дак, эва #кто# думал, что все дома - то нельзя так - то оставить - то.",хто,yes,1.0,173027.0
24,308579,авм1922,1922,N20130624b3,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-831768-837154.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-831768-837154.wav,"А ко мне #кто# мимо пойдет дак и помашут, я говорю, да не = не машите, я вас не вижу, один глаз видит дак.",хто,yes,1.0,834461.0
25,309436,авм1922,1922,N20130624b3,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-1071172-1071927.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-1071172-1071927.wav, #Кто# ?,хто,yes,1.0,1071549.5
26,350875,авм1922,1922,N20130624b1,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-69867-74874.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-69867-74874.wav,"Оборонны с родителями, а #кто# родители - то, мама была, мама да сестры да всё.",хто,yes,1.0,72370.5
27,351492,авм1922,1922,N20130624b1,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-229934-231434.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-229934-231434.wav,А варит - то #кто# ?,хто,yes,1.0,230684.0
28,352215,авм1922,1922,N20130624b1,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-474389-475233.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-474389-475233.wav, #Кто# я - то?,кто,no,0.0,474811.0
29,354218,авм1922,1922,N20130624b1,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-992589-993888.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b1-992589-993888.wav," #Кто# , Петя - то?",хто,yes,1.0,993238.5
30,178270,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1096030-1100680.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1096030-1100680.wav,"Дак продал москвичам дорого и там уж ведь я не проне = <? >, и #никто# не знает.",нихто,yes,1.0,1098355.0
31,181313,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2122782-2124276.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2122782-2124276.wav,У меня #никто# сегодня не был.,нихто,yes,1.0,2123529.0
32,181318,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2125588-2127561.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2125588-2127561.wav," #Никто# , Ваня только посидел, да.",нихто,yes,1.0,2126574.5
33,182246,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2470578-2472565.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-2470578-2472565.wav,"Теперь #никто# руками =, а некому и...",нихто,yes,1.0,2471571.5
34,280742,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-521559-526920.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-521559-526920.wav," #Никто# у него, ревизии никакие не = не бывают, ведь у нас дак ревизии делают, дак всё, а та = там ничего.",нихто,yes,1.0,524239.5
35,285571,авм1922,1922,20130626d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2544572-2548166.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130626d-avm-2544572-2548166.wav,"Нет, никого нет, не хоронили никого, #никто# не убивал никого.",никто,no,0.0,2546369.0
36,307852,авм1922,1922,N20130624b3,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-655707-658311.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-655707-658311.wav,"А вот там уж ни у кого не < спрашивает >, ко мне #никто# не ходит.",нихто,yes,1.0,657009.0
37,308756,авм1922,1922,N20130624b3,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-886247-890712.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b3-886247-890712.wav,"Молодые, где молодых я не знаю, ныне и ребят, #никто# не ноcит дак.",нихто,yes,1.0,888479.5
38,71580,авм1922,1922,N20130624b2,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-679268-682746.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-679268-682746.wav,"<? > #кто# < знает? >, кто знает.",,yes?,,681007.0
39,71586,авм1922,1922,N20130624b2,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-679268-682746.wav,http://www.parasolcorpus.org/Pushkino/OUT/N20130624b2-679268-682746.wav,"<? > кто < знает? >, #кто# знает.",,нрзб,,681007.0
40,177942,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-993984-996295.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-993984-996295.wav," #Кто# кому завещание дал, дак.",кхто,mid,,995139.5
41,178640,авм1922,1922,20130701d-avm,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1223060-1225164.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130701d-avm-1223060-1225164.wav,"А #кто# запьёт, дак уволят с работы.",,????,,1224112.0
