,N,Query,Annotation_date,Number,Individual_code,Individual,Birth_year,File_name,Original_link,Hyperlink,Context,Item,Realization_raw,Realization_type,Binary_response,Stressed,Gram_type,Case,pos
0,1,words_in_uju,1606,91141,авм1922,авм,1922.0,20130701d-avm,,http://192.168.0.50/Pushkino/OUT/20130701d-avm-210595-212004.wav,Ско = #скорую# вызывать.,скорую,uu,VV,dialectal,N,nonpronominal,acc,211299.5
1,2,words_in_uju,1606,91188,авм1922,авм,1922.0,20130701d-avm,,http://192.168.0.50/Pushkino/OUT/20130701d-avm-222560-226418.wav,"А вы = вызывайте #скорую# буде =, из больницы, врача.",скорую,uju,VjV,nondialectal,N,nonpronominal,acc,224489.0
2,3,words_in_uju,1606,91720,авм1922,авм,1922.0,20130701d-avm,,http://192.168.0.50/Pushkino/OUT/20130701d-avm-428628-432726.wav,"Там как туда идёшь, дак на #левую# руку крашеный дом.",левую,uu,VV,dialectal,N,nonpronominal,acc,430677.0
3,4,words_in_uju,1606,91977,авм1922,авм,1922.0,20130701d-avm,,http://192.168.0.50/Pushkino/OUT/20130701d-avm-535127-538672.wav,"В #самую# Пасху, в самую Пасху на веку не робь ничего рано.",самую,uu,VV,dialectal,N,pronominal,acc,536899.5
4,5,words_in_uju,1606,91981,авм1922,авм,1922.0,20130701d-avm,,http://192.168.0.50/Pushkino/OUT/20130701d-avm-535127-538672.wav,"В самую Пасху, в #самую# Пасху на веку не робь ничего рано.",самую,u,V,dialectal,N,pronominal,acc,536899.5
5,6,words_in_uju,1606,95566,авм1922,авм,1922.0,20130701d-avm,,http://192.168.0.50/Pushkino/OUT/20130701d-avm-1667272-1670103.wav,"зовут одна - то Наташа, #другую# - то Аня.",другую,uju,VjV,nondialectal,Y,pronominal,acc,1668687.5
6,7,words_in_uju,1606,136623,авм1922,авм,1922.0,N20130624b3,,http://192.168.0.50/Pushkino/OUT/N20130624b3-137319-140273.wav,"Машину я отдала эво, #швейную# машинку.",швейную,uju,VjV,nondialectal,N,nonpronominal,acc,138796.0
7,8,words_in_uju,1606,219977,авм1922,авм,1922.0,20130626d-avm,,http://192.168.0.50/Pushkino/OUT/20130626d-avm-769110-772930.wav,"Пекли хлеб в #общую# , знаешь, для бригады - то дак.",общую,uju,VjV,nondialectal,N,nonpronominal,acc,771020.0
8,9,words_in_uju,1606,221007,авм1922,авм,1922.0,20130626d-avm,,http://192.168.0.50/Pushkino/OUT/20130626d-avm-1305096-1311726.wav,"А вы девки не ходите - ко на = на вечеровки - то, я - то вам - то книгу - то прочитаю - то опять, #старинную# книгу.",старинную,u,V,dialectal,N,nonpronominal,acc,1308411.0
9,10,words_in_uju,1606,222092,авм1922,авм,1922.0,20130626d-avm,,http://192.168.0.50/Pushkino/OUT/20130626d-avm-1663246-1675136.wav,"Так мы его и не видали, и было письмо, что татушка да мамушка меня, говорит - то, направляют на перед = это направляют наш = нас, говорит, всех на #передовую# .",передовую,uju,VjV,nondialectal,Y,nonpronominal,acc,1669191.0
